Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-11-28,Elf,2003,https://boxd.it/2jPzK3,3.5,,0/10 Walter never wears the bra,,2021-11-27
2021-12-01,I'm Thinking of Ending Things,2020,https://boxd.it/2kei11,5,Yes,Toni Collette might just be the most terrifying actress - I love her so much,,2021-11-30
2021-12-02,A Cinderella Christmas,2016,https://boxd.it/2koISv,1,,"Himbo engages two different women, marries one of them, all in six days of meeting both of them",,2021-12-01
2021-12-03,The Atheist Delusion,2016,https://boxd.it/2kvBlD,0.5,,Man with iPhone 6 interviews people who do not want to be there. Shoutout to all the people he definitely cut from this for arguing back better than these guys.,,
2021-12-03,Audacity,2015,https://boxd.it/2kvVub,0.5,,Homophobic Dhar Mann,,2021-12-11
2021-12-04,A Cinderella Story: Starstruck,2021,https://boxd.it/2kJ0gT,1.5,,Trans Incest Cinderella: Directed by Lil Nas X,,2021-12-03
2021-12-06,Home Alone 4,2002,https://boxd.it/2l0IBv,1,,Who would’ve thought that the McCalisters would get divorced,,2021-12-05
2021-12-07,Diary of a Wimpy Kid,2021,https://boxd.it/2lexXt,0.5,,Diary of a fucking sociopath,,
2021-12-08,Ella Enchanted,2004,https://boxd.it/2ljVtH,2,,So we’re just gonna ignore the implications of this curse? Okay,,2021-12-07
2021-12-09,Be Somebody,2021,https://boxd.it/2lu0wL,2.5,,"Hey China, you know knives out has a dub right?",saw in theatres,2021-12-08
2021-12-09,C'mon C'mon,2021,https://boxd.it/2luZJr,4,,They left the fuckin mic in the shot 0/10,,2021-12-09
2021-12-10,Pokemon Rusty: The Complete Journey,2017,https://boxd.it/2lxx4h,3,,"Finally, a realistic Pokemon movie",,
2021-12-10,Perfect Blue,1997,https://boxd.it/2lD4Nz,4.5,,"I mean obviously this is a fantastic movie but I among us has really ruined the word ""impostor"" for me",,
2021-12-11,Beerfest,2006,https://boxd.it/2lHiHD,1.5,,"Filing this under ""movies my frat president brother would like""",,
2021-12-12,City of Ember,2008,https://boxd.it/2lQqJF,2,,If the builders are so smart why didn't they just program a door to open after 200 years,,2021-12-11
2021-12-12,In the Heights,2021,https://boxd.it/2lXFy7,3.5,,Wait was Lin Manuel Miranda's character in the live show or was this character written just so he could put himself in it,,2021-12-12
2021-12-13,Be Somebody,2021,https://boxd.it/2m44Lx,2.5,Yes,"I only really saw how bad the tonal changes were on a second watch

Still fun though",,2021-12-12
2021-12-14,Rags,2012,https://boxd.it/2mfbXx,2,,Drake Campana played himself,,2021-12-13
2021-12-17,Spider-Man: No Way Home,2021,https://boxd.it/2mFzm3,3.5,,Would’ve preferred a full spiderverse movie so the spideys could interact more with less of fluff but I enjoyed it. Works much better as a “lore movie” than a mcu film. (5/10 without spiderman context),,2021-12-16
2021-12-20,Rudolph the Red-Nosed Reindeer,1964,https://boxd.it/2ngNtB,2.5,,Santa is a dick,,2021-12-19
2021-12-23,A Charlie Brown Christmas,1965,https://boxd.it/2nRhHb,3,,Charlie Brown has seasonal depression,,2021-12-22
2021-12-23,Santa Claus Is Comin' to Town,1970,https://boxd.it/2nRNwz,3,,This movie walked so Klaus could run,,2021-12-22
2021-12-24,Hawkeye,2021,https://boxd.it/2nW6tH,2,,She really just accepts that her mom was the bad guy all along huh,,2021-12-23
2021-12-24,A Boy and His Atom: The World's Smallest Movie,2013,https://boxd.it/2o3QAt,,,Win for cinematography,,2021-12-23
2021-12-24,The Happy Elf,2005,https://boxd.it/2o8ilp,2.5,,Vitamin D deficiency is a bitch,,2021-12-24
2021-12-25,National Lampoon's Christmas Vacation,1989,https://boxd.it/2ojbn1,3,,Every year my family watches this movie and we watch the dvd commentary and every year my family yells at me for pointing out the matte on the final Santa shot,,2021-12-24
2021-12-26,A Christmas Story,1983,https://boxd.it/2ox0LJ,3,,The definitive Christmas experience,,2021-12-25
2022-01-01,Star Wars,1977,https://boxd.it/2qbNbf,3.5,Yes,Synced it to blow up the death star at midnight - very good time,,2021-12-31
2022-01-02,The Matrix,1999,https://boxd.it/2qtIlF,4,Yes,Mister Anderson I hope we don’t get two bad sequels,,2022-01-01
2022-01-02,Don't Look Up,2021,https://boxd.it/2qy2NH,2,,"Had a better time sneaking onto the set. Poor satire.

(If you want a good film like this watch Sorry To Bother You)",,2022-01-01
2022-01-03,Hilda and the Mountain King,2021,https://boxd.it/2qTq9X,2.5,,Red eye of character development solves problems instantly.,,2022-01-03
2022-01-04,Kingsman: The Secret Service,2014,https://boxd.it/2r3pId,3.5,,Now the whole world knows what Boston sports fans feel,,2022-01-03
2022-01-04,The Campaign,2012,https://boxd.it/2r5E6R,1,,My parents made me watch this movie,,2022-01-03
2022-01-04,Marriage Story,2019,https://boxd.it/2r7vff,4.5,,Showed this to my parents - please don’t get a divorce.,,2022-01-03
2022-01-05,The Harder They Fall,2021,https://boxd.it/2rr3BH,3.5,,The third act makes me want an Edgar Wright western,,2022-01-05
2022-01-12,Kingsman: The Golden Circle,2017,https://boxd.it/2t8o6F,2,,I remember the first movie no need to remind me,,2022-01-11
2022-01-13,Diary of a Wimpy Kid: The Long Haul,2017,https://boxd.it/2toDaf,1,,They threw away the perfect casting from the first movie,,2022-01-12
2022-01-14,Sing,2016,https://boxd.it/2tvKxf,2,,A movie about singing with only one good performance,,2022-01-13
2022-01-14,"The Simpsons: The Good, the Bart, and the Loki",2021,https://boxd.it/2tAvzv,1,,Disney is going to kill the entertainment industry,,
2022-01-14,Belfast,2021,https://boxd.it/2tClXr,3.5,,Is there an Oscar for the most single shot monologues?,,2022-01-13
2022-01-14,After Last Season,2009,https://boxd.it/2tDPMv,1,,Five million dollar budget ladies and gentlemen,,2022-01-14
2022-01-16,Scream,1996,https://boxd.it/2uduEx,3.5,,If <i>Community</i> had to make a real actual horror movie,,2022-01-07
2022-01-17,Scream 2,1997,https://boxd.it/2ur0xT,2.5,,C'mon Sidney you're smarter than this,,2022-01-16
2022-01-17,Scream 3,2000,https://boxd.it/2utw3P,2,,Being meta doesn't make your dumb parts make sense,,2022-01-16
2022-01-18,Scream 4,2011,https://boxd.it/2uGNgn,2.5,,This new ICarly season is wild,,2022-01-17
2022-01-19,Scream,2022,https://boxd.it/2uUNAZ,2.5,,Autofellatio: The Movie,saw in theatres,2022-01-18
2022-01-20,The Matrix Reloaded,2003,https://boxd.it/2v85aL,2,,The first act of this movie is way too horny,,2022-01-19
2022-01-21,The Matrix Revolutions,2003,https://boxd.it/2viC6x,1.5,,We all wish we could be Hugo Weaving,,2022-01-20
2022-01-22,The King's Man,2021,https://boxd.it/2vwm1z,2,,Just watch the fight scenes on YouTube,saw in theatres,2022-01-22
2022-01-23,Spencer,2021,https://boxd.it/2vCz9t,4,,My mom didn't like this cause she's a royalty simp,,2022-01-22
2022-01-23,Belle,2021,https://boxd.it/2vGBfr,1.5,,Metaverse Hannah Montana has such a nonsense third act,saw in theatres,2022-01-22
2022-01-23,The Matrix Resurrections,2021,https://boxd.it/2vJr8V,2,,Literally every theory made was better than the actual plot,,2022-01-22
2022-01-24,The 355,2022,https://boxd.it/2vYXdX,1.5,,Women good men bad never heard of nuance,saw in theatres,2022-01-23
2022-01-25,Smiling Friends,2020,https://boxd.it/2wetLd,3.5,,Changing the frame rate and art style as a punchline is the easiest way to make me laugh,,2022-01-25
2022-01-26,The Worst Person in the World,2021,https://boxd.it/2wpiTn,3.5,,There are many benefits to being aro ace,,2022-01-26
2022-01-27,Moonfall,2022,https://boxd.it/2wyu0n,1.5,,Olaf fights the moon,saw in theatres,2022-01-26
2022-01-28,I'm Your Man,2021,https://boxd.it/2wLZIL,3.5,,Propaganda to date Mark Zuckerberg,,2022-01-28
2022-01-30,Raya and the Last Dragon,2021,https://boxd.it/2x08fB,1.5,,The worst 2021 Disney Martial Arts starring Awkwafina,,2022-01-29
2022-01-30,Derren Brown: Pushed to the Edge,2016,https://boxd.it/2x6qAf,3,,Society,,2022-01-29
2022-01-30,2025: The World Enslaved by a Virus,2021,https://boxd.it/2x9zx1,0.5,,The biggest sin of this movie is being really boring,,2022-01-29
2022-01-30,Cryptoland,2021,https://boxd.it/2xaTPB,,,I am going to light myself on fire,,2022-01-30
2022-01-31,Middle School: The Worst Years of My Life,2016,https://boxd.it/2xq1Vx,1.5,,I hate how genuinely good this could’ve been,,2022-01-31
2022-02-01,The Mitchells vs. The Machines,2021,https://boxd.it/2xr465,4,,I'd rather have robots than corona,,2022-01-31
2022-02-01,Nightmare Alley,2021,https://boxd.it/2xw6Wn,3.5,,If only this didn’t release the same day as Spider-Man,saw in theatres,2022-01-31
2022-02-02,Cloverfield,2008,https://boxd.it/2xLeYr,2.5,,Most interesting part of this movie was the slusho tshirt,,2022-02-02
2022-02-03,Doctor Who: The Curse of Fatal Death,1999,https://boxd.it/2xVv0N,3,,I’ll explain my rating later,,2022-02-03
2022-02-03,But I'm a Cheerleader,1999,https://boxd.it/2xWpUH,2.5,,Gay horror starring prince Zuko,,2022-02-03
2022-02-04,Jackass Forever,2022,https://boxd.it/2y5ktp,3,,I’m glad they gave these twelve year olds a budget,saw in theatres,2022-02-04
2022-02-05,The Rescue,2021,https://boxd.it/2yhfTV,3.5,,I’m never going underground again,,2022-02-05
2022-02-06,The Host,2006,https://boxd.it/2ytYdf,3,,The real villain of this movie was unsafe sewer design,,2022-02-06
2022-02-07,Abraham Lincoln: Vampire Hunter,2012,https://boxd.it/2yEKfD,1.5,,This is a documentary,,2022-02-07
2022-02-07,Hugo,2011,https://boxd.it/2yIjY5,4,,It’s just nice yknow - Hats off to Asa Butterfield,,2022-02-07
2022-02-08,Among Us,2017,https://boxd.it/2yQdkp,1.5,,You ever see a movie just from of the title?,,2022-02-07
2022-02-09,Ghost in the Shell,1995,https://boxd.it/2yTRVh,3.5,,“You know who would be great in this? Scarlett Johansson”,,2022-02-08
2022-02-09,The French Dispatch,2021,https://boxd.it/2z1yeJ,3.5,,I need to read more,,2022-02-08
2022-02-11,Sing 2,2021,https://boxd.it/2zjqbN,1.5,,Lot more furry stuff in this one,saw in theatres,2022-02-10
